Model,Make (Organization)
Contour Next GEN,"Ascensia Diabetes Care,Panasonic Healthcare Corporation"
Contour Next One,"Ascensia Diabetes Care,Panasonic Healthcare Corporation"
Contour NextLink,"Ascensia Diabetes Care,Panasonic Healthcare Corporation"
Contour XT,"Ascensia Diabetes Care,Panasonic Healthcare Corporation"
COPDPredict,NEPeSMO
Coprata Smart Toilet,Coprata
Cor,Peerbridge Health
CorBand,ReThink Medical
CORE,ScientISST
Core 500,Eko
Core Body Composition Scale (HS6),iHealth
CORE Body Temperature Monitor,GreenTEG
Corneometer,Courage + Khazaka Electronic
Corona Warn App,Corona Warn App Open Source Project
Corsano CardioWatch 287-1 ,Corsano
Corsano CardioWatch 287-2,Corsano
CorSense,Elite HRV
CorTemp,HQ Inc.
Corti Wearable,EnLiSense
CorVista Capture,CorVista Health
Coswara,Indian Institute of Science
CoughPro ,Hyfe
CoughTracker,Hyfe
Coughy,Soundable
CoVa,"Baxter,toSense (now Baxter)"
COVID Watch,WeHealth
Crisalix 3D Sensor,Crisalix
Cronometer,Cronometer
CrossCheck,University of Washington
CS200,Polar
CS300,Polar
CS400,Polar
CS500,Polar
CS600,Polar
CS600X,Polar
CSX Patch,CSX
CT-08S,Beneware
Cue Reader,Cue Health
CUE1,Charco
CuePath,CuePath Innovation
Cumulus Platform,Cumulus Neuroscience
CureSight,NovaSight
Cureskin,CureSkin
Curovate,Curovate
Current Health Monitoring Platform,Current Health
Curv,Health Arx Technologies
CuSum,Stanford University
Cutometer Dual MPA 580,Courage + Khazaka Electronic
Cyber Glove II,CyberGlove Systems
CyberGlove (Model Unspecified),CyberGlove Systems
CyberGlove III,CyberGlove Systems
Cyranose 320 Electronic Nose,Sensigent
Cyrcadia Breast Monitor,Cyrcadia Health
Cyton Biosensing Board,OpenBCI
D-EYE Retina,D-EYE
D-MOMO,Chinese University of Hong Kong
D2 Bravo,Garmin
D40g 2-in-1 Blood Glucose and BP Monitor,Foracare
Dakik Holter System,Dakik
DANA,AnthroTronix
Danu IMU Pod,Danu Sports
Danu Socks,Danu Sports
Dario Blood Glucose Monitor,DarioHealth Corp.
Data Glove Ultra,5DT
Dataglove,ActionSense
DataLOG,Biometrics
Datex-Ohmeda,GE  Healthcare
Datospir Aira,Sibelmed
Datospir Micro,Sibelmed
DC-360 S,Tanita
DCT Clock,Linus Health
Deep Gluco,Alertgy
DeepLabCut,Mathis Laboratory
DeepScribe,DeepScribe
DeepSpeech,Mozilla Corporation
degree°,Cosinuss
Delsys EMG + IMU Sensor (Model Unspecified),Delsys
Delsys EMG Patch (Model Unspecified),Delsys
DentiTrac,Braebon Medical Corporation
DERM,Skin Analytics
Derma Analytics,Firma Technologies
DermaAId,Nurithm Labs
DermaInspect,JenLab
DermaInspect-CARS,JenLab
Dermalyser,AI Medical Technology
DermaScan,Advanced Health Intelligence
DermaSensor,DermaSensor
Dermatoscope Adapter (DGM-DM-I),Doctorgram
DermaTrack,Embleema
DermEngine,MetaOptima
DermIA Pro,Genia Labs
DermSpot,Digital Diagnostics
Descent G1,Garmin
Detectron,Meta
Dexcom CGM (Model Unspecified),Dexcom
Dexmo,Dexta Robotics
DFree Personal,Triple W
DG5 VHand 3.0,DGTech
DG100 GPS Receiver,GlobalSat
Dharma Platform,Dharma
Dhyana 2,Avantari
Diabetic Foot Ulcer Boot,Sensoria Health
Diabrux,PROvendis
Diadem,Bitbrain
Diamond Cuff P80,Foracare
DiamonTech D Sensor ,DiamonTech AG
Diasys 3 Plus,Novacor
Diasys 200 R,Novacor
Diasys Integra,Novacor
Dieta Health App,Dieta Health
Digi Walker CW 700,Yamax
Digi Walker SW 200,Yamax
Digi Walker SW-700/701,Yamax
DigiBel,Cobalt Grid
Digihaler (Model Unspecified),Teva Pharmaceuticals
Digital Clock and Recall,Linus Health
Digital Monitoring System,Sentec
Digital Pulse Oximeter,Indie Health
Digital Scale 321-PBT-C,A&D
Digital Thermometer,100Plus
Digital Thermometer (PT1),iHealth
Digital Thermometer DMT series,JoyTech HealthCare
Digital Weight Scale,100Plus
Digitrapper Delta,Medtronic
Digitsole Smart Insoles,Digitsole
DigiVis,Cambridge Medical Innovation
Dikablis Glasses 3,Ergoneers
Dimension4,Ubisense
Dip.io,Healthy.io
DirectLife,Philips
Discovery Patch,Epicore Biosystems
Disease Prevention,Pulsar d.o.o Croatia
Disposable Adult Airflow Sensor,Braebon Medical Corporation
DL 700,Philips
DMS 300-4A,DM Software
Do I Snore or Grind,SleepScore Labs
DOFIT Band (NF-B20),"Medi Plus Solution,Dofit"
DOMO 360,DOMO
Domo Health,DOMO
Dopplers – Vascular and Fetal Doppler,Doctorgram
dorsaVi Professional Suite,dorsaVi
dotplot,Dotplot
Dozee For Home,Dozee
DPNCheck,NeuroMetrix
Dream,Medatec
DreaMed Advisor Pro DSS-MDI,DreaMed
DreamOn Band,DreamOn
DreaMS,Healios
Dreem (Model Unspecified),"Dreem (Now Beacon Biosignals),Beacon Biosignals"
Dreem 2,"Dreem (Now Beacon Biosignals),Beacon Biosignals"
Dreem 3,"Dreem (Now Beacon Biosignals),Beacon Biosignals"
DrGoniometer App,DrGoniometer
DriQ,DriQ Health
Druid,Impairment Science
DryEyeRhythm,Juntendo University
DSI-7,Wearable Sensing
DSI-24 (previously EEG:DSI 10/20),"Wearable Sensing,Quasar Inc."
DSM III Skin Colormeter,Bechtold
DTI-2,Philips
Dual Mode Blood Pressure Monitor (UM-211),A&D
Dualer IQ Pro,J-Tech Medical
Duchenne Video Assessment,Emmes Endpoint Solutions
Dunlop Sport Pedometer (Model Unspecified),Dunlop Sport
Duranta,Fujikin
Dyna-MAPA Ambulatory Blood Pressure Monitor,Cardios
Dynamo,VALD Health
DynaPort (Model Unspecified),McRoberts
DynaPort MiniMod,McRoberts
DynaPort MoveMonitor,McRoberts
Dynaport MoveTest,McRoberts
e-AR,Sensixa
e-Celsius,Bodycap
e-Paarvai App,Tamil Nadu e-Governance Agency
E-Prime 2.0,Psychology Software Tools
e-skin Coo,Xenoma
E3,Empatica
E4,Empatica
EarliPoint Eye Tracking System,EarliTec Diagnostics
EarlySense Insight System (EverOn),EarlySense
Eartone Hearing Test,Eartone
Ease Wireless Monitor (BP3L),iHealth
Easee,easee
EasyAmbulatory 2,Cadwell
EasyOne (Model Unspecified),NDD Medical Technologies
EasyOne Air,NDD Medical Technologies
EaZense,Raytelligence
eB2 MindCare,eB2
EC-2H,Labtech
EC-2H 2-Channel Holter ECG System,Labtech
EC5R,D.E. Hokanson
eCap,Information Mediary Corp.
ECG Necklace,Maastricht Instruments
ECG Sentinel System,Cardiomedix
ECG Single LEAD (DGM-ECG-I),Doctorgram
ECG247,Appsens AS
ECGCheck,Cardiac Designs
EcgMove (Series Unspecified),Movisens
EcgMove 3,Movisens
EcgMove 4,Movisens
Echo5D,Atlas5D
Eclypia,Eclypia
ecobee Smart Thermostat,ecobee
Ecomsmart,ECOMESURE
EdaMove (Series Unspecified),Movisens
EdaMove 3,Movisens
EdaMove 4,Movisens
Edge (AM3S),iHealth
Edge 20,Garmin
Edge 25,Garmin
Edge 200,Garmin
Edge 205,Garmin
Edge 305,Garmin
Edge 510/500,Garmin
Edge 520,Garmin
Edge 605,Garmin
Edge 705,Garmin
Edge 810,Garmin
Edge 820,Garmin
Edge 1000,Garmin
Edge 1030,Garmin
Edge Touring/Touring+,Garmin
eego mini-series 8,ANT Neuro
eego rt,ANT Neuro
eego sports,ANT Neuro
Effortless Assessment Research System (EARS),Ksana Health
Eight Sleep Pod 2,Eight Sleep
eKare inSight,eKare
EKGraph,SonoHealth
Ekho Two,BSN Sports
Eko CORE,Eko
Eko DUO ECG + Digital Stethoscope,Eko
eKuore Otoscope,eKuore
EL-FIT App,University of Pittsburgh
Electio,Smartline
Electronic Dosepak,WestRock
Electronically Activated Recorder,Movisens
elevateMS,Sage Bionetworks
Elis 1,Renpho
Elite HRV App,Elite HRV
Elite Sport,Jabra
Ellie Smart Pill Box,EllieGrid
Ellipsis Health,Ellipsis Health
Elvie Trainer,Elvie
Ember,Cercacor Laboratories Inc.
Embla N7000,Embla
Embletta MPR,Natus Medical
Embletta X100,Embla
Embr Wave 2,Embr Labs
Embrace,Empatica
emBRACE,Embrace Tech
Embrace 2,Empatica
EmbracePlus,Empatica
Emerald,Emerald
Emerald (APDM),"APDM (now Clario),Clario,ERT Health (now Clario)"
Emergency Watch,100Plus
EMFIT Movement Monitor,Epi USA
EMFIT QS,Emfit
EMG,MUSCLELAB
EMO-80 Sleep Oxygen Monitor,EMAY
EmotiBit,Connected Future Labs
eMotion Faros,"Biomation,Bittium"
Emotiv Insight,Emotiv
Empatica (Model Unspecified),Empatica
Empatica Care,Empatica
Empeal,Empeal
eMurmur Heart AI,eMurmur
eMurmur ID,eMurmur
emWave Pro,HeartMath
EncephalApp_Stroop,EncephalApp
Encephalog,Mon4t
Encore,ActSoft
EndoCapsule,Olympus
EndoPAT,Itamar Medical
ENGTotal Accelerometer (Model Unspecified),ENGTotal
ENLAZA (Werium IMU),Werium Solutions
Enobio 8,Neuroelectrics
Enobio 20,Neuroelectrics
Enobio 32,Neuroelectrics
EnsoSleep,EnsoData
Enten,Neurable
ePatch (BioTel Heart),"Philips,BioTelemetry"
Epi-Care,"Danish Care,Epilepsy Alarms UK"
Epi-Care 3000,Danish Care
EpiCare@Home,Byteflies
Epicore Biosystems Epidermal Microfluidic Device (Model Unspecified),Epicore Biosystems
Epihunter,Epihunter
Epilog,Epitel
EpiMonitor,Empatica
Epix,Garmin
EPOC,Emotiv
ePulse2,Impact Sports Technologies
epyShield,epyMetrics
Equivital EQ02 LifeMonitor,Equivital
eqWave,Equivital
ERT AM3,ERT Health (now Clario)
ES,Jins Meme
eTact,Bodycap
Ethica,Ethica Data
ETM-GO1 Non-invasive Blood Glucose Meter,ETouch US
ETVision System,Argus Science
Eupnoos,Eupnoos
Eveline,iXensor
Everion,"Biofourmis,Biovotion (now Biofourmis)"
Eversense E3 CGM,Ascensia Diabetes Care
Eversense XL 90-Day CGM System,Ascensia Diabetes Care
EverSleep,Somno Health Inc.
Evidation - Reward Health,Evidation Health
Evie Ring,Movano
EVO,Biostrap
Evo,Spacelabs Healthcare
Evolv (BP7000),Omron Healthcare
EvoWalk Sense,Evolution Devices
eVu TPS,Thought Tech
eVu-TPS Sensor,Thought Tech
EW-FA90,Panasonic Healthcare Corporation
eWave,Indiegogo
EX eq02 + LifeMonitor,Equivital
ExerGait,Exer Labs
ExerPhysio,Exer Labs
EXLs1,EXEL Tech
Exo-Glove,Synertial
exoRehab,ExoSystems
ExSed,Innokas Medical
Eye Chart Pro,Eye Chart Pro
Eye Tracking Glasses 2,SensoMotoric Instruments
Eye Tracking Technology,Labvanced
Eye-Tracking Neurological Assessment (ETNA),Innodem Neurosciences
EyeArt,Eyenuk
EyeBOX Lens,Oculogica
Eyecatcher ,"""City, University of London"""
EyeFundusScope,Fraunhofer Portugal AICOS
Eyelink 1000 Plus,SR Research
Eyemate,Implandata Ophthalmic Products GmbH
EyeNETRA,EyeNetra
Eyer Retinal Camera,Phelcom Technologies
EyeScreen App,IMLC Developer
EyeSeeCam vHIT,Interacoustics
EyeSpy 20/20,VisionQuest 20/20
EyeStar,VisionQuest Biomedical
EyeSwiftPRO,NovaSight
Eyesync,SyncThink Inc.
eyeTilt App,"""See Vision, LLC."""
Eysz,Eysz
eZ430-Chronos,Texas Instruments
EzeCheck,EzeRx
EZLYF,VivaLyf Innovations
EZYPRO Patch,Sigknow Biomedical
F-Scan System,Tekscan
F6 Heart Rate Monitor,Polar
F7 Heart Rate Monitor,Polar
F11 Heart Rate Monitor,Polar
F55 Heart Rate Monitor,Polar
FaceLake Pulse Oximeter (multiple models),FaceLake
FaceReader,Noldus
FallSafety Home App,FreeUs
FallSensing,Fraunhofer Portugal AICOS
FallSkip,Instituto de Biomecánica (IBV)
Falster 2,Skagen
Falster Gen 6,Skagen
Feel Monitoring Device,"Feel Therapeutics,Sentio"
Feel Therapeutics' Digital Drug+ Solution ,Feel Therapeutics
Feel Therapeutics' Digital Precision Medicine Platform,Feel Therapeutics
Feel Wireless Monitor (BP5),iHealth
Feelix,Sonavi Labs
FeelixPro,Sonavi Labs
FeetMe Insole,FeetMe
Femfit,Junofem
Femom,Biorithm
Femometer Smart Ring,Lollitech
FemSense,SteadySense
Fenix,Garmin
Fenix 2,Garmin
Fenix 3,Garmin
Fenix 3 HR,Garmin
Fenix 5,Garmin
Fenix 5 Plus,Garmin
Fenix 5S,Garmin
Fenix 5X Plus,Garmin
Fenix 6,Garmin
Fēnix 7,Garmin
Fenom Pro,CAIRE Diagnostics
Fetal Heart Monitor,Wellue
FeverSmart (model WT701),iMobile Healthcare
FIBARO Motion Sensor,FIBARO
FiberSense,EyeSense GmbH
Fibion G2,Fibion
Fibion SENS,Fibion
FibriCheck,FibriCheck
Fimo Health,Fimo Health
Find X2,OPPO
FindAir ONE,FindAir
FingerPort,Elfi-Tech
Firefly BNA,Firefly Neuroscience
Fit 3,Axtro
Fit.Your.Outfit,PixelCando
Fitbit (Model Unspecified),Fitbit
FitLight System,FitLight
Fitmeter,Fit Dot Life Corporation
Fitmotion Smart Activity Tracker (PSB1GL),Pyle Audio
Fitness Tracker,mobriseHealth
Fitpro Track Scale,FitPro
Fizzyo,Fizzyo
Flare,"Fossil,Misfit (now Fossil)"
Flash,"Fossil,Misfit (now Fossil)"
Flex,Fitbit
Flex 2,Fitbit
Flex 13,OptiTrack
FlexTech Sensor,figur8
Flextrapower Smart Insole,Flextrapower
FLIR E54,FLIR Systems
FLIR One,FLIR Systems
FLIR T640,FLIR Systems
Floodlight,Roche
Flopatch,Flosonics Medical
florio HAEMO,Florio
Flow 2,Plume Labs
Flowpatch,Flowbio
Flowsense,Rhaeos
Flowtime Headset,Entertech Electronics
FluSmart,Evidation Health
Flyfit,Flyfit
FM-180 Digital Holter ECG Recorder ,Fukuda Denshi
FocusBand Headset,FocusBand
FocusCalm EEG Headband,FocusCalm
FocusMotion Brace,FocusMotion
FollowMee,"""FollowMee, LLC"""
Foobot Home,Foobot
Foot Pod,Garmin
Footlogger,3L Labs
ForaCare (Model Unspecified) ,Foracare
Force,Fitbit
Forehead & Ear Infrared Thermometer,Wellue
Forerunner (Series Unspecified),Garmin
Forerunner 10,Garmin
Forerunner 15,Garmin
Forerunner 25,Garmin
Forerunner 35,Garmin
Forerunner 45/45S,Garmin
Forerunner 50,Garmin
Forerunner 55,Garmin
Forerunner 101,Garmin
Forerunner 110,Garmin
Forerunner 201,Garmin
Forerunner 205,Garmin
Forerunner 210,Garmin
Forerunner 220,Garmin
Forerunner 225,Garmin
Forerunner 230,Garmin
Forerunner 235,Garmin
Forerunner 245,Garmin
Forerunner 301,Garmin
Forerunner 305,Garmin
Forerunner 310XT,Garmin
Forerunner 405,Garmin
Forerunner 410,Garmin
Forerunner 610,Garmin
Forerunner 620,Garmin
Forerunner 630,Garmin
Forerunner 735XT,Garmin
Forerunner 745,Garmin
Forerunner 910XT,Garmin
Forerunner 920XT,Garmin
Forerunner 935,Garmin
Forerunner 945,Garmin
Forerunner 955 Solar,Garmin
ForeseeHOME,Notal Vision
Foresight,Perceiv Research
Formsense Pro,formsense
Forte Data Gloves,BeBop Sensors
Fossil (Model Unspecified),"Fossil,Misfit (now Fossil)"
"Fossil Gen 5 (Carlyle HR, Juliana HR, Sloan HR) ",Fossil
FOVE 0,FOVE
FR60,Garmin
FR70,Garmin
FREEEMG,BTS Bioengineering
Freespira,Freespira
FreeStyle Freedom Lite,Abbott
Freestyle Glucometer (Model Unspecified),Abbott
FreeStyle InsuLinx ,Abbott
FreeStyle Libre,Abbott
Freestyle Libre 2,Abbott
FreeStyle Libre 3,Abbott
FreeStyle Libre 14 day,Abbott
Freestyle Libre Flash,Abbott
Freestyle Libre Pro,Abbott
FreeStyle Lite,Abbott
FreeStyle Navigator ,Abbott
Freestyle Optium/FreeStyle Precision Neo,Abbott
Freestyle Precision Pro,Abbott
FreeStyle Precision Xtra,Abbott
FRENZ Brainband,Earable
Frontier X,Fourth Frontier
FS20 PIRA,Conrad Electronic
FS760,"""Accord Co., Ltd."""
FT1 Heart Rate Monitor,Polar
FT2 Heart Rate Monitor,Polar
FT4,Polar
FT7 Heart Rate Monitor,Polar
FT40 Heart Rate Monitor,Polar
FT60 Heart Rate Monitor,Polar
FT80 Heart Rate Monitor,Polar
Fuelband,Nike
Functional Assessment of Biomechanics System (F.A.B.),BioSyn Systems
Fuse,"PAI Health,Mio Global (now PAI Health)"
G Tech Patch System,Fogarty Institute for Innovation
G Watch,LG Electronics
G-Pro Goniometer,Chiropractic Economics
G-Sensor 2026,Pedometers Australia
G-Walk,BTS Bioengineering
g.Nautilus Pro,g.tec
g.Nautilus RESEARCH,g.tec
G4,Polhemus
G4 Cobra Glove,Synertial
G4 Mocapsuit,AiQ Synertial
G4 Platinum,Dexcom
G4 Platinum Professional,Dexcom
G4 Sport Mocapsuit,Synertial
G5 CGM,Dexcom
G5 Mocapsuit,AiQ Synertial
G6 CGM,Dexcom
G6 Pro,Dexcom
G7 CGM,Dexcom
Gabi Band,Gabi SmartCare
Gait Tutor,mHealth Technologies
GaitMate,Stanford University
GaitPy,Python
GAITRite,CIR Systems
GaitUp (Model Unspecified),"MindMaze,Gait Up (now MindMaze)"
Galaxy (Model Unspecified),Samsung
Galaxy A02,Samsung
Galaxy A6,Samsung
Galaxy A10s,Samsung
Galaxy A20,Samsung
Galaxy A30s,Samsung
Galaxy A40 ,Samsung
Galaxy A50,Samsung
Galaxy A320,Samsung
Galaxy Fit,Samsung
Galaxy Fit2,Samsung
Galaxy J7,Samsung
Galaxy J8,Samsung
Galaxy M31,Samsung
Galaxy Note 3,Samsung
Galaxy Ring,Samsung
Galaxy S2,Samsung
Galaxy S4,Samsung
Galaxy S5,Samsung
Galaxy S7,Samsung
Galaxy S8,Samsung
Galaxy S10,Samsung
Galaxy S20,Samsung
Galaxy S22 Ultra,Samsung
Galaxy Watch,Samsung
Galaxy Watch Active,Samsung
Galaxy Watch Active 2,Samsung
Galaxy Watch2,Samsung
Galaxy Watch3,Samsung
Galaxy Watch4,Samsung
Galaxy Watch5,Samsung
Galileo,Delsys
Garmin (Model Unspecified),Garmin
Garmin Connect,Garmin
Garmin ECG App,Garmin
Garmin Heart Rate Monitor (Series Unspecified),Garmin
Garmin Smartwatch (Model Unspecified),Garmin
Gastric Alimetry,Alimetry
GazeSense (SDK),Eyeware
GE Healthcare 24-Hour Holter Monitor (Series Unspecified),GE  Healthcare
GE Healthcare Ambulatory Blood Pressure Monitor (Series Unspecified),GE  Healthcare
Gear Fit2,Samsung
Gear Fit2 Pro,Samsung
Gear Live,Samsung
Gear S2,Samsung
Gear S3 Classic,Samsung
Gear S3 Frontier,Samsung
Gear Sport,Samsung
Gear4 Renew Sleepclock,Gear4
Geca Hydration Monitor,"""Hydrostasis, Inc."""
GENEActiv,Activinsights
GeroSense,Gero
GetMyROM,Interactive Medical Productions
gForcePro+ EMG Armband,OYMotion
GH5200,Teltonika Telemedic
Gili Pro BioSensor,Donisi Health
Gili W,Donisi Health
Glooko XT,Glooko
Glossymeter GL200,Courage + Khazaka Electronic
Glove DK3 ,Senso Devices Inc.
Glucobeam,RSP Systems
Glucometer,Athelas
Gluconext,Diabnext
Glucose Buddy,Azumio Inc.
Glucose Meter,mobriseHealth
Glucose Monitor,Indie Health
GlucoTrack,Integrity Applications
Glucowise,"Meta Materials Inc.,Mediwise (now Meta)"
Glutrac,Glutrac
Go Direct Respiration Belt,Vernier
Go! Scan,Creaform
Go2sleep,SleepOn
Go2sleep SE,SleepOn
GoCheck Kids,Gobiquity
GOKURI Neckband 4,PLIMES Inc. 
Gold Blood Pressure Monitor (BP5350),Omron Healthcare
Gold Wrist Blood Pressure Monitor (BP4350),Omron Healthcare
Golfer Premium Edition,TomTom
Golfer/Golfer 2,TomTom
Golife Care-X,GoYourLife Inc.
Google Glass,Google
Google Pixel (Model Unspecified),Google
Google Pixel XL,Google
GoogleFit,Google
GoPro Hero 3,GoPro
GoPro Hero 3+,GoPro
GoPro Hero 5,GoPro
GoPro HERO 6 Black,GoPro
GoPro Hero 7,GoPro
GoPro Hero 8,GoPro
GoSafe 2,Philips
GoSpiro,Monitored Therapeutics
GP3,Gazepoint
GPSkin,GPower
GPSLogger,GPSLogger
Grace,Astinno
Grael,Compumedics
Graphwear Sensor,Graphwear
Gray Kit (ESP32),M5Stack
Great Lakes NeuroTechnologies Tremorograph (Model Unspecified),Great Lakes NeuroTechnologies
greenTEG Temperature Sensor (Model Unspecified),GreenTEG
Gripable,GripAble
GripAlyzeR,NeuroScript
Grit X,Polar
gSense,Nutrix
GSR Logger,NeuLog
GT 3,Huawei Technologies
GT1M,ActiGraph
GT2 Pro,Huawei Technologies
GT3X,ActiGraph
GT3X+,ActiGraph
GT9X Link,ActiGraph
Guardian Angel,Aulisa
Guardian REAL-time,Medtronic
Guardian Sensor 3,Medtronic
Guardian Sensor 4,Medtronic
Guava Health App,Guava Health
Guess What App,Stanford University
Gulf Coast Data Concepts Tri-Axial Accelerometer (Model Unspecified),Gulf Coast Data Concepts
Gwave,Hagar Tech
Gx Sweat Patch,"Gatorade,Epicore Biosystems"
Gyko,Microgate
H1 Handy Recorder,Zoom Corporation
H2 (Dynaport Hybrid),McRoberts
H6 Heart Rate Monitor,Polar
H7 Heart Rate Monitor,Polar
H9 Heart Rate Monitor,Polar
H10 Heart Rate Monitor,Polar
H20B,InBody
H48C,Hitachi
Hacaro - iTUG,Digital Standard Co.
Hailie,Adherium
Halo Band,Amazon
HALO HG1,HALO Medical Devices
Halo Rise,Amazon
Halo View,Amazon
Halo+,Livmor
HAM-IMU+alt,Gulf Coast Data Concepts
Handyscope Smart Solution,FotoFinder
Happify,Twill
Happy Ring,Happy Health
Harmony 4000,MindRhythm
HBF-214,Omron Healthcare
HBF-255T,Omron Healthcare
HBF-306,Omron Healthcare
HBF-352,Omron Healthcare
HBF-375,Omron Healthcare
HBF-514C,Omron Healthcare
HBF-516B,Omron Healthcare
HBP-1300,Omron Healthcare
HD-Drum,"Cardiff University,Kinneir Dufort"
HEALBE GoBe 3,Healbe
Health Band,Philips
Health by Mindstrong,Mindstrong (now SonderMind)
Health Gauge Smartwatch (Model Unspecified),Health Gauge
Health Mate App,Withings
Health Patch,VitalConnect
Health System Platform 4.0,Analog Devices
Health Tag,Spire Health
Health Watch,Philips
Health2Sync App,Health2Sync
HealthAI,Lazarus Enterprises Inc
Healthbox,Under Armour
Healthdot,Philips
Healthentia,Innovation Sprint
HealthKam AFib,VPG Medical
HealthKit,Apple
HealthRhythms,HealthRhythms
HealthSmart Blood Pressure Monitor (Model Unspecified),HealthSmart
Healthymize,Healthymize
Healy Watch,Healy World
hearDigits,HearX Group
Hearing Test,E-Audiologia
HearO,Cordio Medical
hearScreen,HearX Group
Heart Beam,HeartBeam
Heart Rate Monitor (PHRM36) ,Pyle Audio
Heart Rate Monitor App,Meet Your Need Production
"Heart Rate Monitor Smart Bracelet 3, GSH420R",Golden Smart Home Technology Corporation
Heart Rate Plus App,PVDApps
Heart Rate Variability Logger,HRV4Training
Heart Seat,Casana
Heart Tracker,Biocom Technologies
Heart White Sticker,Xinws
Heartbit,IBM Clinical Development
hearTest,HearX Group
Heartfelt Device,Heartfelt Technologies
HeartGuide,Omron Healthcare
HEARThermo,National Cheng Kung University
HeartKey 2.0,B-Secur
HeartMate,Viatom
HeartNote,JSR Corporation
HeartScan (HCG-801),Omron Healthcare
HeartWatch,HelpWear
HeartyPatch,ProtoCentral
hearWHO,"World Health Organization (WHO),HearX Group"
hearZA,HearX Group
HelioS Smart Ring,e-Senses
Hello Heart App,Hello Heart
HEM-7011,Omron Healthcare
HEM-7081IT,Omron Healthcare
HEM-7113,Omron Healthcare
HEM-7114,Omron Healthcare
HEM-7117,Omron Healthcare
HEM-7130-L,Omron Healthcare
HEM-7200,Omron Healthcare
HEM-7420,Omron Healthcare
HEM-9200T,Omron Healthcare
HEM-9601T,Omron Healthcare
Hemodex,Impact Vitals
HeraBeat,HeraMED
Hero,Snuza
Hero,Bitbrain
Hero Medication Dispenser,Hero
HeroTracker,Cohero Health
Hexiwear,Mikroe
Hexoskin (Model Unspecified),Hexoskin
Hexoskin App,Hexoskin
Hexoskin Astroskin,Hexoskin
Hexoskin Classic Kit,Hexoskin
Hexoskin Pro Kit,Hexoskin
Hexoskin Smart Kit,Hexoskin
HI-300,Humatech
HI-TEC Pedometer (Model Unspecified),HI-TEC
HI5 VR Glove,Noitom
HiCardi SmartPatch,Mezoo
HidrateSpark PRO Smart Bottle,HidrateSpark
Hitoe,"""Toray Membrane USA, Inc."""
HJ-003,Omron Healthcare
HJ-102,Omron Healthcare
HJ-112,Omron Healthcare
HJ-113,Omron Healthcare
HJ-203,Omron Healthcare
HJ-303,Omron Healthcare
HLK-AL00,Huawei Technologies
HN-290-T,Omron Healthcare
HOBO Pendant MX Temperature/Light Data Logger,HOBO
HolCARD CR07,Aspel
HoloLens 2,Microsoft
Holter CardioLight,Cardios
Honor 9X Lite,Huawei Technologies
Honor Band 4,Honor Device Company
Honor Band 5,Honor Device Company
Honor Band 6,Huawei Technologies
Honor Band 7,Huawei Technologies
Honor Watch,Honor Device Company
Hop Watch,Hop Technologies
Horus DEC200,Medimaging Integrated Solutions
how2track,Health Outcomes Worldwide
Howz Home Care Kit,Howz
HPMS109,Wismed
HR-2000,Istel Care
HR2,Movesense
HR500U,Omron Healthcare
HRM Pro,Garmin
HRM-Dual,Garmin
HRM-Run,Garmin
HRM1 Heart Rate Monitor,Beetsblu
HRM306,Accuro
HRM308,Accuro
HRMBLE Heart Rate Monitor,GOW
HRV4Training,HRV4Training
HRVTool,University Medicine Greifswald
HTC Smartphone (Model Unspecified),HTC
HTS (Hand Test System),ETT S.p.A.
Huawei Health,Huawei Technologies
Huawei Smartphone (Model Unspecified),Huawei Technologies
Huawei Smartwatch (Model Unspecified),Huawei Technologies
Huawei Vision Glass,Huawei Technologies
Hugo Health Platform,Hugo Health
Huma Companion App,Huma
Human NIBP Nano System,AD Instruments
Humanglove,Humanware
HumanITcare,HumanITcare
Humon,Humon
Hupnos Sleep Mask,Hupnos
HxM Monitor,"Medtronic,Zephyr (now Medtronic)"
Hydration Monitor,WearOptimo
Hydrodex,Impact Vitals
Hydrostasis,"""Hydrostasis, Inc."""
Hyfe Cough Tracker,Hyfe
HypAir-FeNO,MGC Diagnostics
HyperIMU,Ianovir
HyperView,HyperMed
I-FILE app,Curavista Health
i-Sens Inertial Measurement Unit (Model Unspecified),i-sens
i-STAT 1,Abbott
i-STAT Alinity,Abbott
IAQM-058W,INKBIRD
IAQM-128W,INKBIRD
iATROS ECG,iATROS
IBDoc,Bühlmann Laboratories
iBGStar,Sanofi
iBloodPressure,Wanda Health
iBrain,NeuroVigil
iBreve,iBreve
iCalm,MIT Media Lab
iCare HOME,iCare
iCare HOME2,iCare
iCare IC100,iCare
iCare IC200,iCare
iCare Pro TA03,iCare
iCare TA01i,iCare
iCare Tonometer (Model Unspecified),iCare
iChoice S1 Scale,ChoiceMMed
ICM-20600,InvenSense
ICM-20602,TDK Corporation
ICM-20689,TDK Corporation
iCO,Bedfont Scientific
ICS Impulse,Natus Medical
ID-Cap,etectRx
IDEAL LIFE,Raziel Health
Ideal Life Body Manager™,Raziel Health
Ideal Life Gluco Manager™,Raziel Health
Ideal Life SpO2 Manager,Raziel Health
IDEEA (Intelligent Device for Energy Expenditure),MiniSun
iDoc24 PRO,iDoc24
IDUN Guardian,IDUN Technologies
IG-500A,SBG Systems
iGlucose Cellular Diabetes Care Solution,Smart Meter
Ignite,Polar
Ignite 2,Polar
Ignite 3,Polar
IGS-180,Synertial
