_name,_idx,DHT_searched_text
no matches,0,"Omega-3 polyunsaturated fatty acid;
 High-Intensity Interval Training;
 Safflower oil;
 Flexibility training"
no matches,0,"Motor Task;
 Cognitive-motor dual-task"
no matches,0,"Omega-3 Polyunsaturated Fatty Acid.;
 Safflower Oil;
 High-Intensity Interval Training;
 Flexibility Training"
no matches,0,"Custom Foot Orthotics EVA;
 Original Liner;
 Custom Foot Orthotics PU;
 Custom Hybrid Foot Orthotics"
no matches,0,"Unilateral plyometric training;
 Bilateral plyometric training;
 Standard physical therapy"
no matches,0,"Penile block;
 Erector spinea plain block;
 Caudal block"
no matches,0,Education
no matches,0,Pneumowave Device placement and data capture
no matches,0,"Manual toothbrush;
 Electric toothbrush"
no matches,0,"Screen Time Restriction (ST-Restricted);
 Aerobic Exercise (AE);
 Screen-time restricted plus aerobic exercise (STR+AE);
 Stretching Only"
no matches,0,"Core Intervention;
 E-Coach;
 General Mindfulness Training;
 MVPA-Specific Mindfulness Training;
 Buddy"
no matches,0,Transcutaneous Electrical Nerve Stimulation
['mhealth'],1,mHealth App
no matches,0,"Physical activity adoption;
 Self monitoring"
no matches,0,"Negative ion therapy;
 Light therapy"
no matches,0,"Goal Setting;
 Action Planning;
 Self-Monitoring of Behavior;
 Feedback on Behavior"
['dexcom'],1,Dexcom ONE Continuous Glucose Monitoring System
no matches,0,"VRelax;
 Relaxation exercises"
no matches,0,"Thrive app;
 TCCG"
no matches,0,"Levetiracetam;
 Levetiracetam Tablets;
 Lamotrigine tablet"
no matches,0,"ACT Intervention;
 Waitlist"
no matches,0,"Near-infrared Spectroscopy scan;
 Magnetic Resonance Imaging scan"
['quest 2'],1,"Progressive Muscular Relaxation via Zoom, and Exposure to a Virtual Reality scenarios deployed by an Head mounted tool (Oculus Quest 2).;
 Progressive Muscular Relaxation via Audio-track, and Exposure to a Virtual Reality scenarios deployed by an Head mounted tool (Oculus Quest 2).;
 Progressive Muscular Relaxation via Zoom, and Exposure to a Guided Imagery Exposure."
no matches,0,"Community Health Worker Care Model;
 Enhanced Community Health Worker-based with Mobile Health Blood Pressure Monitoring Model;
 Standard of Care Model"
no matches,0,"Caloric restriction and control oxalate and citrate foods;
 Caloric restriction;
 Real-life intervention with control oxalate and citrate foods"
no matches,0,sensory room
no matches,0,A device for detecting arteriovenous fistula vascular function
no matches,0,"Text-Messaging (TM);
 Conversational Agent (CA);
 Patient Navigation (PN)"
['holter monitor'],1,"Right Atrial ganglionated plexus ablation;
 Holter Monitor;
 Pulmonary vein isolation;
 Right cavo-tricuspid and left roof linear ablation;
 Personal ECG recordings;
 Quality of life questionnaire"
no matches,0,"Sevasemten Dose 1;
 Sevasemten Dose 2;
 Sevasemten Dose 3;
 Sevasemten Dose 4;
 Sevasemten Dose 5;
 Placebo"
no matches,0,"treadmill gait training with gait facilitators;
 treadmill gait training not-associated with gait facilitators"
no matches,0,"gamification with collaboration;
 gamification with competition"
no matches,0,"Bedaquiline;
 Clofazimine;
 Pyrazinamide;
 Delamanid;
 Rifampin;
 Isoniazid;
 Ethambutol"
no matches,0,"Coconut Water;
 Oral Electrolytes"
no matches,0,"Bright Light Therapy;
 Placebo Retimer Device"
['fitbit'],1,Fitbit Intervention
['smart phone'],1,"Patient information;
 Smart phone application based exercises;
 Web based exercises;
 Group based information;
 Supervised rehabilitation;
 Self-monitoring;
 Motivational notifications;
 Home based rehabilitation"
no matches,0,"App-based remote blood pressure monitoring;
 text-message based remote blood pressure monitoring"
no matches,0,"Propofol;
 Fentanyl;
 Rocuronium;
 Sevoflurane;
 Erector spinae plane block;
 Thoracolumbar interfascial plane block"
no matches,0,"SSVEP Device;
 SCAT5"
no matches,0,"PelviSense-assisted pelvic floor muscle training group;
 Active comparator"
['mhealth'],1,"Teleassistance;
 Teleconsultation;
 Telerehabilitation;
 Telemonitoring;
 mHealth;
 telepsycology;
 Quality of life;
 Biochemistry evaluation;
 Clinical evaluation;
 State of health of the patient"
no matches,0,E-learning
no matches,0,Oculus Quest II
no matches,0,"Datos mobile health application;
 Regular follow-up"
"['duchenne video assessment', 'wearable']",1,"Wearable Device;
 Duchenne Video Assessment (DVA)"
no matches,0,"Bluetooth-connected monitoring devices and a feedback system;
 Mobile application"
['endopat'],1,"Iohexol measurement;
 Geranylgeranylacetone (GGA);
 Echocardiography;
 6-minute walking distance test;
 EndoPAT;
 Para-amino Hippuric Acid test;
 Electrocardiogram"
no matches,0,"APP;
 PHYSICAL THERAPY"
no matches,0,"WeB;
 Standard pelvic floor physical therapy"
no matches,0,"Eyesi simulator;
 Sleep deprivation"
no matches,0,"AndroidAPS-rt-CGM;;
 sensor augmented pump(SAP);"
no matches,0,"stellate ganglion blocks;
 Ropivacaine;
 Sham treatment"
no matches,0,Cognitive Behavioral Therapy for pain
"['t:slim', 'g6 cgm', 'dexcom']",1,"t:slim X2 insulin pump with Control-IQ technology 1.5 and Dexcom G6 CGM;
 Standard Therapy plus continuous glucose monitoring (CGM)"
no matches,0,transcutaneous auricular neurostimulation
no matches,0,"Swinging Light test;
 Virtual Reality Head-Mounted Display (VR HMD)"
"['t:slim', 'g6 cgm', 'dexcom']",1,"MPC closed-loop system;
 t:slim X2 pump with Dexcom G6 CGM and Control IQ"
no matches,0,"Anodal speech motor tDCS;
 Cathodal speech motor tDCS;
 Anodal IFG tDCS;
 Cathodal IFG tDCS;
 Sham tDCS"
no matches,0,"BMS-986325;
 Placebo"
no matches,0,Discharge antibiotic stewardship intervention
['mobile app'],1,"HeartAge;
 HOPE-CVD Mobile App;
 Genetic Risk Score"
no matches,0,"1565nm Non-ablative Fractional Laser;
 5% minoxidil external use;
 1565nm Non-ablative Fractional Laser combined with 5% minoxidil"
['wearable'],1,Wearable bioimpedance sensor
no matches,0,"Active Transcranial alternative current stimulation;
 SHAM Transcranial alternative current stimulation"
['nest hub'],1,"Virtual coach with NAO robot;
 Virtual coach with Google Nest Hub (2e generation) group;
 Virtual coach with Gatebox device;
 virtual coach with CelesTE robot;
 booklet"
['mhealth'],1,"mHealth Coaching Intervention;
 Enhanced Usual Care"
no matches,0,"Core;
 Simplified Nutrition Monitoring (Green);
 Behavioral: Simplified Nutrition Monitoring (Red);
 Nutrition Goals (Yes);
 Nutrition Goals (No);
 Supportive Text Messages (Yes);
 Supportive Text Messages (No);
 Lesson Delivery (Once);
 Lesson Delivery (Weekly)"
no matches,0,"radiofrequancy;
 aerobic exercise"
['smartphone'],1,"Smartphone app;
 Text Message;
 Survey Administration"
no matches,0,"Virtual Reality Distraction;
 Dental Clinic's Standard Treatment"
no matches,0,"Afrezza;
 insulin degludec;
 Rapid-acting Insulin Analog;
 Basal Insulin"
no matches,0,"Exergaming;
 Booklet"
no matches,0,"Er:YAG laser system (Doctor smile, Pluser, Italy);
 Master Torque high/low-speed air rotor handpiece (KaVo Dental, Charlotte, North Carolina, USA)"
no matches,0,"KNEESUP smart knee assistive device + KNEESUP care APP;
 KNEESUP care APP;
 Healthy consulation"
no matches,0,"App;
 Fully Automated Kick-Off;
 Human-Enhanced Kick-Off;
 Check-In;
 Counseling"
no matches,0,"Physical activity variety intervention;
 Physical activity consistency comparison condition"
no matches,0,"Behavioral Dietary Intervention;
 Behavioral Intervention;
 Biospecimen Collection;
 Dietary Intervention;
 Educational Intervention;
 Exercise Intervention;
 Health Promotion and Education;
 Internet-Based Intervention;
 Interview;
 Lifestyle Counseling;
 Medical Device Usage and Evaluation;
 Nutritional Intervention;
 Questionnaire Administration;
 Telephone-Based Intervention"
no matches,0,"Core Intervention;
 E-Coach;
 Buddy;
 General Mindfulness Training;
 MVPA-Specific Mindfulness Training"
no matches,0,"Melissa phytosome;
 Placebo"
no matches,0,Skiin pediatric band and Skiin biometric pod
no matches,0,"Supramaximal Walkout;
 Submaximal Walkout"
no matches,0,"Acceptance and Commitment Therapy (ACT);
 Culturally Informed Cognitive Behavioral Therapy (CICBT), Individual;
 Culturally Informed Cognitive Behavioral Therapy (CICBT), Group;
 Dialectical Behavioral Therapy (DBT);
 Durand Sleep Intervention;
 RUBI Intervention;
 Naturalistic Communication Intervention (NCI);
 Self-Guided Resources;
 Participation Enhancement Intervention (PEI)"
['android'],1,Reminder function on Android computer tablet
no matches,0,"Education Program;
 Think Well Program;
 Be Well Program;
 Eat Well Program;
 Sleep Well Program;
 Move Well Program"
no matches,0,"Conventional Physiotherapy;
 Video Game Based Exercise Training"
no matches,0,"6 minutes walk distance;
 Activity Monitor;
 Continuous Glucose Monitor;
 Blood Pressure Monitoring;
 Body Composition Scan;
 Mixed meal testing;
 Quality of Life"
['smartphone'],1,"RELAXaHEAD Smartphone App;
 In-Person Training;
 Virtual Training"
no matches,0,Massage session
no matches,0,"High Alert;
 Information condition;
 No contact"
no matches,0,"Conventional High Intensity Gait Training;
 Standard FES to the Tibialis Anterior (TA);
 Synergy-Based Multichannel FES (MFES);
 Muscle Synergy Visual Biofeedback"
no matches,0,"Casein protein;
 a-lactalbumin protein;
 Carbohydrate;
 Placebo"
['alexa'],1,"VIPA Treatment Program;
 Alexa with Guidebook"
no matches,0,"REBECCA-assisted intervention 1;
 REBECCA-assisted intervention 2;
 Standard follow-up"
no matches,0,"Placebo;
 Anti-Ageing and Skin Brightening Gel"
no matches,0,ResAppDx v.20
['mhealth'],1,"mHealth application and sleep health education;
 Simplified mHealth application and sleep health education"
no matches,0,"PSV mode during NIV;
 ASV intellisync"
no matches,0,Real-time feedback through the device. Bio-feedback signals will be given once deviated from a neutral posture for >1 minute. Response of surgeons to bio-feedback signals will be recorded
no matches,0,Wavy stress application
no matches,0,"PROCARE+ (Core intervention with add-on modules) and two booster sessions.;
 PROCARE+ (Core intervention with add-on modules) and one booster session;
 PROCARE+ (Core intervention with add-on modules) without booster sessions."
no matches,0,"Anticoagulation dosing;
 Blood sampling;
 Duration of the dialysis session;
 Choice of the hemodialyzer"
no matches,0,"asynchronous content only;
 Asynchronous content and health coaching and no live training;
 asynchronous content only and 1 on 1 live training;
 asynchronous content and health coaching and 1 on 1 training;
 asynchronous content and group training;
 Asynchronous content and health coaching and group training"
no matches,0,"Near logMAR letter acuity;
 Near LogMAR word acuity;
 Red Green Stereoacuity;
 Auckland Optotype/Auckland Vanishing Optotypes;
 Vanishing Optotype Sloan Letters;
 Letter Contrast Sensitivity;
 Low Contrast Letter Acuity"
no matches,0,"Mobile health support;
 Financial incentive;
 Combine intervention;
 Control group"
['minimed'],1,"MiniMed™ 780G Advanced Hybrid Closed Loop (AHCL) system;
 MDI/CSII"
no matches,0,"Fully immersive Head-Mounted Display Virtual Reality;
 Traditional Physical Therapy Program"
no matches,0,"Neuropsychological battery;
 Surveys and symptom severity questionnaires;
 Blood withdrawal;
 Saliva swabs"
no matches,0,Skiin Garment system
no matches,0,"Standard Health Communication Intervention;
 Behavioural Change Health Communication Intervention"
no matches,0,Pocket-size lung ultrasound for etiological definition of pneumonia and surveillance of complications in children hospitalized
no matches,0,"Acamprosate;
 Placebo;
 Methazolamide"
no matches,0,"Lactic Acid;
 vit D;
 Triamcinolone Acetonide;
 Saline"
['fitbit'],1,"Northwell Pregnancy & Peds Chats;
 Prenatal Telehealth Visits;
 Postpartum Telehealth Visits;
 Home Blood Pressure Monitor;
 Fitbit"
no matches,0,"Augmented Reality Enhanced Preoperative Counseling;
 Standard preoperative counseling"
no matches,0,"The exercise program;
 Online education presentation;
 Smart band"
no matches,0,"Group is doing breathing exercises while watching videos;
 Medium pace walking group"
no matches,0,"Complement Theory's Live 1:1 Exercise Coaching and Personalized Digital Application;
 Digital application with expert guidelines on lifestyle modification"
no matches,0,"Conventional treatment;
 Experimental treatment"
no matches,0,"Acceleromyography (AMG);
 Electromyography (EMG)"
no matches,0,"Goal Setting;
 Interview;
 Media Intervention;
 Medical Device Usage and Evaluation;
 Questionnaire Administration;
 Reward;
 Text Message-Based Navigation Intervention"
no matches,0,"Myofunctional Therapy;
 Inspiratory Muscle Training;
 Aerobic Exercise"
['temptraq'],1,"TempTraq;
 VitalTraq"
no matches,0,"Stage 1 SOC;
 Stage 1 HERS;
 Stage 2 HERS;
 Stage 2 HERS+HC;
 Stage 3 SOC;
 Stage 3 HERS;
 Stage 3 HERS+HC;
 Stage 4 HERS;
 Stage 4 HERS+HC"
['mobile app'],1,"Air quality monitoring at patient's home;
 Questionnaires: Baseline & every six months;
 Lung function Testing: Baseline & every six months & during exacerbations;
 EMR & registry data;
 Communication channel - Health Circuit Mobile App (Herranz C. JMIR 2023);
 Physiological data - Beat One Watch;
 Patient Empowerment;
 Characteristics of exacerbations"
no matches,0,Digital Health Intervention Group
no matches,0,"Influenza A/Texas/71/2017 (H3N2);
 Sham placebo"
no matches,0,experimental group
no matches,0,AWARE
['kinect'],1,"Azure Kinect-based Tandem Stance Test (ATST) and Physical Therapist's Measurements of Tandem Stance Test (PTST);
 Azure Kinect-based Five Times Sit-to-Stand Test (AFTSS) and Physical Therapist's Measurements of Five Times Sit-to-Stand Test (PFTSS);
 Azure Kinect-based Timed Up and Go Test (ATUG) and Physical Therapist's Measurements of Timed Up and Go Test (PTUG);
 Short Physical Performance Battery (SPPB);
 Berg Balance Scale (BBS);
 Functional Reach Test (FRT);
 Four-Square Step Test (FSST);
 Grip Strength (GS)"
no matches,0,"Computed Tomography (CT) using Photon Counting CT scanner (Neaotom Alpha, Siemens) and Magnetic Resonance (MRI)"
no matches,0,one group. observational study
no matches,0,"Predicta® Bioactive Desensitizer (PBD, PARKELL, EDGEWOOD, NY, USA);
 Gel with 1.23% sodium fluoride (EAZIGEL, VERICOM CO., LTD. SOUTH KOREA);
 Placebo gel without any active ingredients."
no matches,0,"Neutral ginger-flavored drink described as energizing, hypoglycemic, caffeine-based drink;
 Neutral ginger-flavored drink"
no matches,0,"Education;
 Generic Education"
no matches,0,"low FODMAP diet;
 Lactose Sachet;
 Fructose Sachet;
 Sorbitol Sachet;
 Inulin Sachet;
 AIRE-2 Portable breath analyzer"
no matches,0,HearCare MED-EL App
no matches,0,"Ketamine;
 Dexmedetomidine"
no matches,0,"Whole body vibration;
 lumbar stabilization exercises"
no matches,0,"Transcutaneous Tibial Nerve Stimulation(TTNS);
 Combination Therapy;
 Standard Medication Therapy"
no matches,0,Device under test evaluation against references
no matches,0,"self assmbling peptide p11-4 combined with 0.05% fluoride;
 Casein phosphopeptide amorphous calcium phosphate;
 5% sodium fluoride varnish"
no matches,0,"Best Practice;
 Communication Intervention;
 Coordination;
 Educational Intervention;
 Electronic Health Record Review;
 Informational Intervention;
 Interview;
 Patient Navigation;
 Referral;
 Text Message-Based Navigation Intervention"
no matches,0,"Early intervention for OMI;
 Standard early intervention for STEMI;
 Standard delayed intervention for NSTEMI"
['aktiia'],1,"Aktiia Bracelet;
 Healthstats BPro Evo;
 Spacelabs OnTrak Ambulatory Blood Pressure monitor"
no matches,0,4-week MVPA intervention
no matches,0,"Nicotine Pouches;
 Mini Nicotine lozenges"
no matches,0,cardiovascular implantable electronic devices
no matches,0,"Low intensity-resistance training with lower limb blood flow restriction;
 High Intensity Resistance Training"
no matches,0,"Oral cannabis low THC;
 Placebo Comparator;
 Oral cannabis high THC;
 Oral cannabis THC/CBD"
no matches,0,"NUDGE;
 Education"
no matches,0,"MORPH;
 Measurement Only"
no matches,0,"MindBoba;
 Mindshift CBT"
no matches,0,"AIRROSTI exercises;
 Thera band exercises"
no matches,0,Phonix Care
no matches,0,"Aerobic exercise therapy;
 Cognitive behavioural therapy;
 Usual care"
no matches,0,"Sleep Extension;
 Healthy Living Psychoeducation"
no matches,0,"Internet-Based Intervention;
 Interview;
 Questionnaire Administration;
 Text Message-Based Navigation Intervention"
no matches,0,"Manual manipulation;
 Sham manipulation"
no matches,0,"AI;
 healthy dialogue"
no matches,0,REBOA
no matches,0,"PCA;
 CEA;
 RISS"
no matches,0,"Isobutyl cyanoacrylate;
 Chlorhexidine (0.2%);
 Normal Saline (0.9% NaCl)"
no matches,0,"CardiaCare RR2;
 Sham Device"
no matches,0,"Self-reflection;
 Self-reflection + Alternative activity engagement;
 Self-reflection + Contingency management"
no matches,0,Alcohol Consumption Randomized Instructions
no matches,0,"Enhanced Virtual reality;
 Active Comparator: Treatment as usual"
no matches,0,"Auricular Vagus Nerve Stimulation (aVNS);
 Aerobic Exercise Therapy;
 Low FODMAP Diet Intervention"
no matches,0,"IAMABLE web-based app;
 General health information"
no matches,0,"Balloon-Blowing exercise program;
 Standard nursing care"
no matches,0,"Massage;
 No intervention"
no matches,0,"Biospecimen Collection;
 Exercise Intervention;
 Magnetic Resonance Imaging;
 Questionnaire Administration;
 Respiratory Therapy"
no matches,0,"Virtual reality exposure therapy;
 transcranial direct current stimulation;
 Imaginal exposure therapy"
no matches,0,Care Buddy
no matches,0,"Active transcranial direct current stimulation;
 Sham transcranial direct current stimulation"
no matches,0,"Health Literacy and Culturally Tailored Materials;
 Community-Engaged Health Coaching and Navigation;
 Self-Monitoring and Remote Patient Monitoring of weight and physical activity;
 Community Asset Mapping (CAM);
 Primary Care Provider Training;
 Obesity Toolkit for Primary Care Providers"
no matches,0,DIGITAL INTERVENTION
no matches,0,"Balance Program;
 Educational Reading Content"
no matches,0,"Erector spinae plane block;
 Combined Pecto-intercostal and recto-intercostal fascial plane block"
no matches,0,"Prehabilitation;
 Standard of Care (SOC)"
no matches,0,"Wellth App;
 Action Planning;
 Wellth + Cue"
no matches,0,Amplification of Positivity - Cannabis Use (AMP-C)
no matches,0,"Inspiratory Warm-Up - 60% MIP;
 Inspiratory Warm-up - 40% MIP;
 Sham"
no matches,0,Emotion regulation
no matches,0,"CRET therapy;
 Sham CRET Therapy"
['fitbit'],1,"Fitbit;
 MySnackTracker App"
no matches,0,Cognitve rehabilitation with virtual reality and robotic arm
